Behavior,Neuron_31,Neuron_28,Neuron_43,Neuron_38,Neuron_7,Neuron_34,Neuron_41,Neuron_23,Neuron_20,Neuron_27,Neuron_12,Neuron_10,Neuron_26,Neuron_6,Neuron_24,Neuron_11,Neuron_3,Neuron_22,Neuron_13,Neuron_37,Neuron_39,Neuron_19,Neuron_8,Neuron_33,Neuron_5,Neuron_14,Neuron_15,Neuron_32,Neuron_21,Neuron_17,Neuron_2,Neuron_18,Neuron_40,Neuron_1,Neuron_16,Neuron_29,Neuron_35,Neuron_30,Neuron_36,Neuron_9,Neuron_42,Neuron_25,Neuron_4
Closed-Armed-Exp,3.242220718888703,2.5847369146977823,1.9368295139259026,1.5477567927533795,1.2743635982094224,1.1800591858846603,1.1506262144822805,0.9980592011421239,0.9788523140039672,0.9355592153954181,0.9129516162615489,0.9059219320251192,0.8915989479640918,0.8834600554416071,0.8590113655594307,0.8222287520763676,0.7869371475027396,0.7688965505833061,0.7346041697059443,0.7027188105169684,0.700325255396933,0.6839898381893941,0.6695762970595913,0.6649280359691766,0.6260285839201113,0.5847398257895109,0.5697277940851272,0.5260594130647304,0.5192046407796056,0.5122769993195784,0.45946519130421165,0.4340691092469838,0.4165437068211241,0.38830372715822,0.37992351887040166,0.25612054388061967,0.1692458016246851,0.14826197256788792,0.12732245984786492,0.08084588773940646,0.07304223784712463,0.06875936216785122,0.047634985678953516
Closed-arm,0.6250483174930287,0.9697913586644086,0.07555024839712762,0.40120940783073006,0.0700594416522159,0.5940993697906243,0.29344007393827176,0.7859136404232224,0.6291276912123174,0.3365591508810097,0.8185833347324977,0.10782324211159705,0.22037935738780476,0.07566014285977368,0.3328789745804449,1.0600758774394134,0.7066526317028137,0.6287904460310285,0.16005237249715284,0.19038972702628731,1.0600822490058328,0.6238697738428685,0.3977310278632439,0.2702009040721135,0.9524821950356658,0.4887345034915979,0.04902654551089261,0.5775221033589841,0.05599239259386712,0.08396582756017153,0.27403299522893787,0.5582481170091275,0.5181445683569512,0.061779167233108626,0.3105249881113058,0.3345106567954799,0.4721832954279947,1.3065693331114254,0.5945376601519001,0.3610611143979903,0.3307155899711738,0.5077710483777234,0.45479402214628023
Closed-arm-stiff,1.390126176187491,1.0310931388416462,0.4664027039237745,0.8786956915304778,1.5315176523857916,1.4796378753093533,0.9218346978121583,1.4233807104399256,0.5556598094105469,0.4388988329323666,0.8012567327463285,1.0006534795836615,2.4751127473992325,1.7267832001763839,0.15232482963044874,1.4514501189856024,1.005171860698481,0.19208927374565302,0.6338987760700976,0.6871524232983837,0.9067933722633942,0.5449001660995946,0.2017920546576532,0.49402192726893424,1.9529797228074526,1.51130480578839,0.9979830464904649,2.1745324250172597,0.43163167297746047,1.0307253433493422,0.6399052049254859,0.10056503068072699,0.9416068345247264,0.5656361954068106,2.353976529339033,0.23422482282930654,0.5933816206468148,0.5938932394692492,0.7151367583189123,0.06897539053380985,0.7751474391067386,1.7427245894980847,0.09414203320462
Middle-Zone,0.1282458953898859,0.0870931920267213,0.023413544038096333,0.8254569876891932,0.7068360017846504,0.3538126367654463,0.02795579932263459,0.5513781880473891,0.49035315610291147,0.5430976585132967,0.24512569114907357,0.42281587024828693,0.2582854209227317,0.21346150976000902,0.4744434596988353,0.024833058362928914,0.18130763630861355,0.8109013907216938,0.21252653847095113,0.6268193702452027,0.16468816339145895,0.165478977308602,0.10562956543738537,0.22542660680685797,0.32751992752566944,0.40527681760712486,0.2628552712028103,0.35558233459530897,0.3094640491729718,0.3210269151193347,0.2158955824917591,1.0510444421122758,0.08402632650869178,0.4253434655633858,0.1478427296831849,0.5462843999855662,0.044781656641074225,0.2021549341767928,0.3382528831315417,0.4145652287021206,0.16604209649105647,0.2678842452051416,0.46805126757705673
Middle-Zone-stiff,0.7610887142975306,0.23509546040495713,1.2080021347402607,0.6579147211514811,0.10683811966472363,0.704782438806191,1.2732757768455092,0.6806950896276648,1.291645676587461,0.27088293220628107,0.4631893150253885,0.1457477997557688,0.7401281747779239,0.18650357377446586,1.1018845315805945,0.8680263044117821,0.9898513773103238,1.4303091033264648,2.142033105719993,0.07017105006304866,0.6500673822743138,0.007516215235491649,0.7268388435894814,0.4025687597774523,0.2430661476658461,0.08459013091320908,0.16410308156049808,0.8849452608842021,0.03333097484584313,1.9773644441986227,1.2315448178124562,1.0399662695545893,0.2689759369571112,0.21413588279918266,0.09476246108919324,0.7731635314266383,0.32278817116379716,1.3524440335669106,1.069370913496442,0.9746297642529075,1.4486846861279077,1.2563000903166606,0.11161160048323543
Middle-Zone-to-Close-arm,0.44031961256991026,0.7313489475876432,1.0608801950612659,1.2347327143733786,0.5069089951689884,0.5386945662628632,1.0910636142448535,0.7090293041943047,1.8867499379459949,0.30359722034586034,0.42426881421126594,0.05048205411921846,0.1930575576341689,0.05324665282515726,0.6758922892599366,0.883507520555758,0.49670518648876505,0.7298847916777158,1.14991353115645,0.3144475446499524,0.18563623014092417,0.8877405055672186,0.5722458109328288,0.44890526616503,0.37636567586317415,0.18797280344098813,1.0511637149563922,0.39127850415521503,0.7129201030282794,0.08193430220623081,0.07481679485327039,0.6118935999580482,0.32505958684946995,0.3480698779915771,0.47308859474257764,0.45277116844920196,0.3094546240412581,0.2543543038224116,0.19620445442340148,1.2315319179214317,1.086155729876419,0.7339979763217839,0.037207918488504625
Middle-Zone-to-Open-arm,0.20267263563123072,0.7133201807153374,0.09033038372437406,1.0180196766144556,0.3410436054290313,0.7751688450593335,0.2651874566692043,0.6328068555534374,0.822305566251216,0.03591553839285818,0.3291688723354081,0.39694304484280724,0.4336329432665848,0.2777292205795076,0.9025886847385965,0.5003705409502689,0.517095522343363,0.35917485505000446,0.7995563476595094,0.8906429153499134,0.28601486312417157,0.052828608084610436,0.3724280108046508,0.7223889877348821,0.47982571165870586,0.18951001100731352,0.13038893467890894,0.35186395752570243,1.6142073432132946,0.8002659550704151,0.04030343959690701,0.04658091700940201,0.6738132687860214,1.12624508950756,0.003854699874456272,0.3456144720708699,0.1801387940986824,0.3318629871572259,0.5877103047552742,0.26946539530487346,0.3822055469014575,0.052102290353274995,0.5984239948582192
Move,1.3937988330336442,0.5596788141889143,1.424035430305778,1.7198338245131064,0.4774734029383582,0.3606613091012501,0.8534954227594335,0.36125153568166074,0.7303730338772101,0.7173197743943809,0.45896035755781645,0.6304186901460757,0.16596568126340844,1.1108774405473012,0.3269463382451013,0.029954930538656135,0.8192340717476277,0.7773908835684269,1.1964370406346396,0.22767995163520768,1.156186257455271,0.3464965026077213,0.14562238155569657,1.0516271610174406,0.39928902513442366,0.1287673437580006,0.1906298096896361,0.7942703894556031,0.5210310232664862,0.3397274065146998,0.01992505406272491,0.7511099328285601,0.5453429934605208,0.5164565086037153,0.4586742948146739,0.5307157913560681,0.09154479913894434,0.6834372085104519,1.2031108737889247,1.234122374010386,0.31884938000771174,0.1876174472239234,0.5876846420774071
Open-Armed-Exp,0.2916435709455181,0.2142252941761084,1.1502636540013766,0.1274340528252571,0.4795785086850161,0.33126227586393975,0.7279037080752064,0.6060847188632651,0.9584018380963122,0.09995690507424337,0.22680988193838428,0.17161967888547033,0.3081948033991401,0.26783840527564545,0.7723121670887227,0.4409423338687208,0.26295131354457435,0.01997031230967755,0.6684668071346934,1.0880817645039265,1.3301484096966791,0.20907545854556578,0.294659475109569,0.6184802640249903,0.4974784807736294,0.27220662336540175,0.711932805698269,0.3355864870188576,0.6954949420566945,0.44245959960945647,0.14627611995953588,0.12912678643106548,0.1474603696802833,0.49216310819371684,0.5583202360509584,0.1604292897712974,0.4752228748311941,0.3717897117201449,0.2708387689022445,0.3643732419031561,0.6251509855641818,0.030630418315543997,0.6321895778279213
Open-arm,0.5200112142621,0.8022069740236472,0.7675788362509179,0.17040672787867434,0.36886235998852007,0.39808117791154296,0.6767554953402121,0.19932426730560174,0.510027641978099,1.2907574299384565,0.14929244736700487,0.3430462910480245,0.186721009568395,0.29897025480947836,0.020579293463407484,0.10331794783134453,0.8442193849834314,0.4257933663992794,0.10178403393029087,0.5469367399919023,0.32442046686442716,0.10591340085975783,0.957309898904088,0.5329336779210432,1.086400323901904,0.018712260355016875,0.022643689132126485,0.7529278114183465,0.44572708255914073,0.7423539103795309,0.08837112732190587,0.05978504132187297,0.0474462228023234,0.2019924292279456,0.27998215748440414,0.7735209803959245,0.1392956849004284,1.021849091932893,0.08113824001884419,0.483801998678516,0.039953570219164125,0.502099754525813,0.08627619443563703
Open-arm-exp-middle,0.28164151966507645,0.4937893886256657,1.3972923489168816,1.6508396223850295,1.808605735954479,1.0321996040903294,0.8758087209339187,0.8620869147019804,1.033710865061616,0.5496845955095577,0.9195722005327402,4.886145343443874,0.7639727454782707,0.01695466507020541,0.40664758935705797,0.12247093072692747,1.073395748771014,1.1303061142370414,0.5684267361938394,0.23485675969530267,0.5919675158672616,0.18775336092653894,0.8015021022365989,0.10215112357462254,0.7564810081287459,1.6839165123888584,0.5016300793983816,0.3028246188294679,1.0515059323983575,0.7870294357450586,0.3057433698113883,1.134085372199251,0.5118535169309005,0.5169573786620681,0.5498906202633613,0.02082800226397377,0.2755579898278748,0.69163190611135,0.29559226085878765,0.4656246072841684,0.024759800220811295,0.036331505555695365,1.6826155096466509
Open-arm-probe,0.4961766707948119,0.4528112474729071,0.1483795255422772,0.05544665347677774,0.7822688350373418,0.09145097345766819,0.3819520903078817,0.4722020335414105,0.04081570911180485,0.7163358967215055,0.35331724900843253,0.1445906726169465,0.29799042348160165,0.6242237063773256,0.33868355429803654,0.32474653408337234,0.2288733595339348,0.9558192323924793,0.37193416012313224,0.40705738220298304,0.7502260546956293,0.3920096173700962,0.8589018867355388,0.13898950982390745,1.172745864595723,0.244027399756296,0.6756571256344241,0.7337004360556859,0.27544379774974465,0.5163521496138782,0.12633599997855577,0.5440291031328672,0.4205945147348335,0.07052135391852833,0.112772018927501,0.2825429712593542,0.24868557389445964,0.3752077592760383,0.17068803532148863,0.36618932790476505,0.06296277395888764,0.12960707731002763,0.09534568257494175
middle-exp-close-arm,0.2983087294938688,1.054480895898277,0.7855069674459466,0.24595230432841222,0.4846990161901877,0.23715689409413543,1.0554821994086503,0.29153705517386236,0.7988529558766033,0.8823993616610611,0.8350757664859493,0.18905226149701537,0.44560635913687213,1.0043601592497737,0.2479510141268818,0.06387109825779887,0.14505010147544778,0.27429409219258877,0.9037594296724486,1.0627703297497386,0.09155484206455933,0.06911497631778746,0.19964592511826204,0.8768137629656431,0.021899373741890816,0.30148440193431253,0.1367534471135144,0.27924562950917886,0.6227164491844132,0.6028596055014795,0.6373227358012047,0.6429894284535649,0.7798833339874507,1.138604934092841,0.3532080317982174,1.090891558880957,0.0837770938261688,1.2977803346613117,0.13855241214497216,0.2744255967215682,1.03949548986954,0.2300196091912606,0.4078851446409663
middle-exp-open-arm,0.026420153600273076,1.650597300459695,0.11004842041120506,0.26062970439261984,0.8580002076762346,0.39258646400042907,1.0435797881823297,3.702809049826353,0.8833757146266625,0.21873716701634086,0.854140043520192,0.27962046315054634,1.57860200348978,2.1164625134127992,1.0522936576045827,0.4508831224779186,0.3341932857320081,0.6606607208462209,1.0076451675622984,1.8761432594605394,0.775359775596862,0.3298443056160902,0.2400895679910901,0.05874982693259616,0.3480805564781807,1.1966232034928337,0.26562609062533576,1.3094995849840974,0.4116735899198801,0.25377487194971904,1.0031795586753032,0.25531936876568817,0.17921483671802063,1.6781581761886837,0.4535263517127974,0.9394553639769008,0.6159539945454536,0.37352313971652484,0.9449121669682966,0.1713076357350318,1.5263806910982107,0.11444380374900634,1.0271780106051687
stiff,0.28203909929045506,0.33389874376604994,1.3520234362053614,0.041560899746172664,0.49763889785636833,0.5386675739678899,0.8688577799797385,0.12046726556980754,0.9214418194304157,0.9994464328389455,0.8052680676179493,0.7250113525011808,0.9555916921826799,0.7430910046387137,1.018161711093889,0.7545116976045868,0.4206609459373382,0.10127951885816346,0.7509446631477696,0.7440298550720387,0.16870786113665276,0.8579599269220796,0.6019335454179048,0.761292731428076,0.08456972975827232,0.31619898543232156,0.7221076437454075,1.1823341573181758,0.35976749610467545,1.3532586132287423,0.06036724622290647,0.8058743199599804,0.29529249004924946,0.41791295445510057,0.9064500839522807,1.0308933077301548,0.7198435801581149,1.0387950594552469,0.10716450769188518,0.17664534272091176,1.1728727792671267,0.7843468028552965,1.6101522119100955
